roll number,Hindi,English,Science,Maths,History,Geograpgy,total mark,Percentage,Pass/Fail
1,65,53,59,53,71,37,338,56.33,Pass
2,65,56,37,67,91,50,366,61.0,Pass
4,88,46,59,94,52,38,377,62.83,Pass
5,39,81,37,38,53,54,302,50.33,Pass
6,51,43,53,53,64,59,323,53.83,Pass
7,73,48,53,38,50,53,315,52.5,Pass
8,53,53,97,65,53,53,374,62.33,Pass
9,53,64,53,43,59,59,331,55.17,Pass
10,53,85,96,76,83,62,455,75.83,Pass
11,61,53,53,53,53,48,321,53.5,Pass
15,44,53,72,59,40,53,321,53.5,Pass
16,52,55,39,93,58,46,343,57.17,Pass
18,93,86,36,39,37,78,369,61.5,Pass
21,87,47,53,35,79,57,358,59.67,Pass
22,77,53,95,53,53,52,383,63.83,Pass
25,83,86,42,53,39,40,343,57.17,Pass
29,53,53,60,95,36,79,376,62.67,Pass
30,93,41,42,98,72,84,430,71.67,Pass
32,57,53,48,64,38,72,332,55.33,Pass
34,53,55,66,53,59,53,339,56.5,Pass
35,53,75,66,40,44,35,313,52.17,Pass
36,53,51,83,45,82,59,373,62.17,Pass
37,84,67,78,98,51,72,450,75.0,Pass
38,66,87,53,66,54,55,381,63.5,Pass
39,53,75,50,77,40,53,348,58.0,Pass
40,40,35,75,73,40,47,310,51.67,Pass
42,72,72,53,43,74,69,383,63.83,Pass
43,66,87,37,42,89,80,401,66.83,Pass
46,53,53,53,53,53,53,318,53.0,Pass
47,61,76,62,53,53,53,358,59.67,Pass
